product_id,domain,category,subcategory,title,display_name,capacity_range,short_description,product_info,technical_details,applications,model_count,spec_status,docx_verification,source_type,source_url
INFO-001,i-power,Company Information,About,About i-power,About i-power,,Company overview of i-power (power division of Interconnect Solutions).,"i-power is the power division of Interconnect Solutions, dealing in AC & DC power back-up solutions. State-of-the-art manufacturing and strong R&D guarantee highest-quality products for critical power applications. i-power offers reliable UPS products with high power factors covering 1KVA to 600KVA, plus an extensive range of high-quality batteries (AGM, GEL, Pure Gel) under the ENERGEN brand from 12V/5Ah to 12V/200Ah. All standard items are available for delivery, supported by an experienced team and reliable worldwide export services by sea or air.",,,0,company_info,company_info,website,https://i-sol.co.uk/i-power
INFO-002,i-power,Company Information,Our Solutions,Our Solutions,Our Solutions,,i-power solutions approach and the industry sectors served.,"i-power helps transform, organize and grow your network/business, acting as a partner with deep product and service knowledge. Motto: 'Technology You Can Rely On'. Full lifecycle support: supply, implementation, integration, training, consulting and customer support. Solutions are reliable and cost-effective. Sectors served: 1) Banks/Financial Institutions 2) Education 3) Commercial & Residential 4) Datacenters 5) Industrial Solutions 6) Telecom Sectors 7) Hospitals/Health Facilities.",,,0,company_info,company_info,website,https://i-sol.co.uk/our-solutions-3
PROD-001,i-power,UPS Solutions,On-line high frequency,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",T-4001 Single Phase (1-10KVA),1-10KVA,"The i-power T-4001 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor up to 0.8/0.9 and up to 90% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4001 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Product Highlights: Wide Input Voltage Range allows the UPS to work in harsh environments and reduces battery discharging time. GBT technology to achieve high overall efficiency up to 90%. High input power factor (0.99) and low harmonic distortion (THDI 5%) saves upstream investment. Can be connected with all kinds of generators to save customers costs. True online double-conversion topology and zero transfer time to battery provides 24/7 full-time protection. Model OH1001T80207S OH1002T80407S OH1003T80607S OH1006T91607S OH1010T91607S Capacity 1KVA / 0.8KW 2KVA / 1.6KW 3KVA /2.4KW 6KVA / 5.4KW 10KVA / 9KW,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-002,i-power,UPS Solutions,On-line high frequency,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",T-4001 Single Phase (1-10kVA),1-10kVA,"The i-power T-4001 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor up to 0.8/0.9 and up to 90% AC-AC efficiency. For greater energy savings, the efficiency can reach upto 96-97% during ECO mode depends on model.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4001 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",LATEST HF SWITCHING POWER SUPPLY RECTIFIER & PFC TECHNOLOGY FEATURES - Wide Input Voltage Range - IGBT Technology - High Input Power Factor High input power factor (0.99) and low harmonic distortion. Can be connected with all kinds of generators to save customers costs. True online double-conversion topology and zero transfer time to battery provides 24/7 full-time protection Advanced Communications USB/RS232 & RJ-11/RJ45 serial port interface (Optional) - Tested and Verified All devices are fully tested and verified for maximum performance. Model Capacity OH1001T80300S OH1001T80600S OH1003T80800S OH1006T91600S OH1010T91600S 1KVA / 0.8KW 2KVA / 1.6KW 3KVA /2.4KW 6KVA / 5.4KW 10KVA / 9KW,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-003,i-power,UPS Solutions,On-line high frequency,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),T-4001 Single Phase (1-10KVA),1-10KVA,"The i-power T-4001 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor up to 1 and overall efficiency >95%. It also incorporates a reliable and energy saving green power system.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. Due to its 3-level inverter technology, The T-4001 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",FEATURES High frequency on-line double conversion single phase - High Output Power Factor - ECO Function - Topology Comes with Eco friendly function to save cost - Input Voltage Wide input voltage range from 110-300 VAC Battery anti reverse connection alarm and safety and battery test function - EPO Function - Flexible Battery - LCD - All devices have EPO function available Flexible battery VDC options i.e. 192/240 VDC for long back-up 6 & 10 kVA models - Large and multifunctional LCD with comprehensive information about UPS working. Also multi page history record displayed on LCD Model Rating OH1001T10207S OH1001T10209S OH1002T10407S OH1002T10409S OH1003T10607S OH1003T10609S OH1006T11607S OH1006T11609S OH1010T11607S 1KVA/`1KW 2KVA/2KW 3KVA/3KW 6KVA/6KW 10KVA/10KW OH1010T11609S,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",10,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-004,i-power,UPS Solutions,On-line high frequency,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),T-4001 Single Phase (1-10KVA),1-10KVA,"The i-power T-4001 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor up to 1 and overall efficiency >95%. It also incorporates a reliable and energy saving green power system.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. Due to its 3-level inverter technology, The T-4001 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",FEATURES High frequency on-line double conversion single phase - High Output Power Factor - ECO Function - Topology Comes with Eco friendly function to save cost - Input Voltage Wide input voltage range from 110-300 VAC Battery anti reverse connection alarm and safety and battery test function - EPO Function - Flexible Battery - LCD - All devices have EPO function available Flexible battery VDC options i.e. 192/240 VDC for long back-up 6 & 10 kVA models - Large and multifunctional LCD with comprehensive information about UPS working. Also multi page history record displayed on LCD Model Rating OH1001T10300S OH1002T10600S OH1003T10800S OH1006T11600S OH1006T12000S OH1010T11600S OH1010T12000S 1KVA/`1KW 2KVA/2KW 3KVA/3KW 6KVA/6KW 10KVA/10KW,"Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",7,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-005,i-power,UPS Solutions,On-line high frequency,T-4001 6-10k TL 1-1 (0.9PF) Built-in & Long Back-up with Parallel Feature (6-10KVA),T-4001 Single Phase (6-10kVA),6-10kVA,"The ipower T-4001 series is a robust online double-conversion UPS system engineered for critical power continuity in sensitive environments. With its true double-conversion architecture, it ensures uninterrupted pure sine-wave output, shielding connected equipment from voltage fluctuations, outages, and electrical disturbances. Operating at 94% efficiency in online mode and up to 98% in ECO mode, the system enhances energy savings without compromising reliability.","The ipower T-4001 series features a wide input voltage range (120–285VAC) and outstanding voltage accuracy (±1%). It supports a 0.9 output power factor and delivers clean output with less than 2% THD on linear loads. Certified for safety and performance, the system complies with CE, IEC/EN62040 standards, ensuring reliable operation across diverse industries.","True Double-Conversion Technology Ensures seamless power protection and high adaptability to harsh mains conditions. - Output Power Factor Delivers a 0.9 output power factor for improved load capacity. - High Efficiency Operation Achieves up to 94% efficiency in online mode and 98% in ECO mode, supporting energy savings. - Wide Input Range Supports input voltage range from 185–275VAC at 100% load and 120–185VAC with linear derating to 50% load. - LCD Display Offers real-time operational data and alerts via an easy-to-read LCD interface. - Intelligent Communication Slot (Optional) Supports SNMP and remote monitoring integration. - Parallel Operation (Optional) Up to 3 units can operate in parallel with optional parallel card. Model OH1006T91507S OH1006T91600S OH1010T91607S OH1010T91600S Capacity 6kVA/5.4kW 6kVA/5.4kW 10kVA/9kW 10kVA/9kW","Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",4,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-006,i-power,UPS Solutions,On-line high frequency,T-4001 6k TL 1-1 (1PF) Built-in Long Back-up with Parallel Feature (6KVA),T-4001 Single Phase (1-10KVA),1-10KVA,"The ipower T-4001 series is a high-performance online doubleconversion UPS designed to deliver pure sine-wave power for mission-critical applications. With its true online technology, it provides seamless power protection against grid fluctuations, outages, and electrical noise. The system boasts an impressive output power factor of 1.0 and up to 99.5% efficiency in ECO mode, ensuring optimal energy savings while maintaining reliable operation.","T-4001 series features a wide input voltage range (110- 280VAC) and exceptional voltage regulation (±1%). Its full-bridge inverter design accommodates challenging loads, including half-wave and unbalanced configurations, while maintaining less than 3% THD for clean power output.","True Double-Conversion Technology Provides complete isolation from grid irregularities, ensuring clean and stable power output. - Pure Sine-Wave Output Protects sensitive electronics with distortion-free AC power (<3% THD for linear loads). - 60A High-Speed Charger Rapidly recharges external 48V battery banks (batteries sold separately). - Cold Start Function Powers critical loads directly from batteries without AC input. - Parallel Expansion Supports up to 9 units for single/three-phase setups with a shared battery system. - Generator-Compatible Works seamlessly with generator power sources. - Full-Bridge Inverter Design Handles half-wave & unbalanced loads without performance loss. - Zero Transfer Time Instant switch to battery power with no interruption. - LCD Display Real-time monitoring of load, battery status, and fault alerts. - Robust Protection Overload, short-circuit, and overcharge safeguards. Model Capacity OH1005T10400S 5kVA/5kW","Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits",1,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-007,i-power,UPS Solutions,On-line high frequency,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),T-4003 Three Phase (20-80kVA),20-80kVA,"T-4003 UPS series features high efficiency, high performance, double conversion, online mode, and three-in and three-out. With perfect power source protection solutions, the UPS effectively addresses multiple power source problems such as power outage, high-voltage AC and low-voltage AC, voltage sag, damped oscillation, high-voltage impulse, voltage surge, harmonic distortion, clutter interference and frequency variation, etc.","It is widely applied for computers, communications devices and other controlling devices. We can choose optional accessories to cope with inrush load situations / feed-back circuit protections, etc in complicated electrical environments.",Excellent Protection to Harsh Environment - Dual and Single Feed Input Options - Modular Fan and Battery Design - Service Reminder for Preventive Maintenance - Various Communication Options - High Reliability Due to Dual 85 High Temperature - Conformal Coating of PCBs - Pre-Install Battery and Without Pre-Install batteries. Model (Long Back-up) OH3020T14400S OH3030T14400S OH3040T14400S OH3060T14400S OH3080T14400S Model (Standard) OH3020T14000B OH3030T14000B OH3040T14000B OH3060T14000B OH3080T14000B Capacity 20kVA/20kW 30kVA/30kW 40kVA/40kW 60kVA/60kW 80kVA/80kW,DATA CENTER TRANSPORTATION MANUFACTURING FACILITIES TELECOMMUNICATION COMMERCIAL BUILDINGS FINANCIAL SERVICES SECURITY AND SURVEILLANCE HEALTHCARE,10,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-008,i-power,UPS Solutions,On-line high frequency,T-4003 10-180k TL 3-3 (0.9/1PF) Long Back-up series (10-180KVA),T-4003 Three Phase (10-180KVA),10-180KVA,"The i-power T-4101 series is a true online double-conversion UPS that can provide your critical equipment with reliable, stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% during ECO mode.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. T-4003 series is offering the best-in-class combination of maximum available power, unbeatable energy efficiency and superior power performance for small and medium important equipment/application systems, such as SME data exchange centres, communication equipment industry, and precision instruments",High Efficiency Upto 98% during ECO mode Latest IGBT Technology - High Output Power Factor Upto 1PF ≥ ±240VDC for better load handling capability - Tested and Verified - Online Double Conversion All devices are fully tested and verified for maximum performance. - Flexible Battery VDC Option True online double-conversion topology and zero transfer time to battery provides 24/7 full-time protection. Model: OH3010T15000S OH3020T15000S OH3030T15000S OH3040T15000S OH3060T15000S OH3080T15000S OH3100T15000S OH3120T15000S OH3160T15000S OH3180T15000S Capacity: 10KVA 20KVA 30KVA 40KVA 60KVA 80KVA 100KVA 120KVA 160KVA 180KVA,"Applications: Telecom, Edge Applications, Finance, Data Centers, Servers, Security, Medical Equipment’s, Educations, Light industrial applications",10,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-009,i-power,UPS Solutions,On-line high frequency,T-4003 300-1200k TL 3-3 (1PF) Long Back-up series (300-1200KVA),T-4003 Three Phase (300-1200KVA),300-1200KVA,"The i-power T-4003 UPS Series is a high-performance, DoubleConversion Online UPS designed to deliver uncompromising power quality and reliability. Engineered with a Three-Phase architecture, it provides a seamless power backup solution for mission-critical environments.","Equipped with comprehensive power protection, the unit effectively mitigates a wide spectrum of electrical disturbances, including total power failure, voltage fluctuations (sags and surges), harmonic distortion, and frequency instability. Its advanced circuitry ensures that connected equipment receives a pure, stabilized sine wave at all times",Power Factor 1 (kVA=kW) - High Efficiency 97% - System Parallel up to 8 units - Energy Regenerative Protection - UPS Health Detection - High Reliability -Green Power -Intellegent Management Models: OH3300T14400S OH3400T14400S OH3500T14400S OH3600T14400S OH3800T14800S OH31M0T14800S OH31M2T14800S Capacity KVA: 300 400 500 600 800 1000 1200,"Applications: Telecom, Edge Applications, Finance, Data Centers, Servers, Security, Medical Equipment’s, Educations, Light industrial applications",7,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-010,i-power,UPS Solutions,On-line low frequency,T-4101 1-6k TB 1-1 (0.8PF) With Battery (1-6KVA),T-4101 Single Phase (1-6KVA),1-6KVA,"The i-power T-4101 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features signiﬁcant advantages, including an output power factor of 0.8 and up to 98% AC-AC efﬁciency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4101 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range Single Phase 160Vac to 280Vac. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL1001T80607S OL1002T80607S OL1003T80807S OL1006T81607S Capacity:1KVA / 0.8KW 2KVA / 1.6KW 3KVA / 2.4KW 6KVA / 4.8KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",4,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-011,i-power,UPS Solutions,On-line low frequency,T-4101 1-15k TB 1-1 (0.8PF) Without Battery (1-15KVA),T-4101 Single Phase (1-15kVA),1-15kVA,"The i-power T-4101 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4101 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range Single Phase 160Vac to 280Vac. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL1001T80600S OL1002T80600S OL1003T80800S OL1006T81600S OL1006T80800S OL1008T81600S OL1010T81600S OL1015T81600S Capacities: 1KVA / 0.8KW 2KVA / 1.6KW 3KVA / 2.4KW 6KVA / 4.8KW 8KVA / 6.4KW 10KVA / 8KW 15KVA / 12KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",8,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
PROD-012,i-power,UPS Solutions,On-line low frequency,T-4102 6-30k TB 3-1 Without Battery (6-30KVA),T-4102 Three Phase (6-30KVA),6-30KVA,"The i-power T-4102 series is a true online double-conversion UPS that can provide your critcal equipment with reliable and stable sine wave power. It features significant advantages, including an output power factor of 0.8 and up to 98% AC-AC efficiency for greater energy savings.","It is a versatile, high quality, and cost-competitive UPS developed to handle a wide voltage range and inconsistent power conditions. The T-4102 series provides a safe power supply guaranteed for mission-critical applications such as computer equipment, telecommunication devices, precision instrument, network termination equipment, and more.",Wide Input Voltage Range 3-Phase In / 1-Phase out 380Vac ±25%. High Efﬁciency 98% under ECO Mode Intelligent Charging Design Battery low/over charged sensor to protect the charger. Output Voltage Regulation 220Vac±1% (Static)  220Vac±2% (50% to 0% Sudden Change). High Performance Advanced SCR rectiﬁer and IGBT inverter technology. High Overload Handling Abilit Surge current protection technology to manage sudden impact of 0% to 100% load immediately without transfer to bypass. - Ventilation Design Front to rear ventilation design to reduce the MTTR rate of the UPS. Tested and Veriﬁed All devices are fully tested and veriﬁed for maximum performance. Model: OL2006T83200S OL2010T83200S OL2015T83200S OL2020T83200S OL2030T83200S Capacity: 6KVA / 4.8KW 10KVA / 8KW 15KVA / 12KW 20KVA / 16KW 30KVA / 24KW,"Applications: Network, Banking, Servers, PC, Security, Education, E-commerce, Labs, Emergency Devices, Control circuits, Industrial machines",5,unverified_no_datasheet,unverified,website,https://i-sol.co.uk/product-line-4
