product_id,product_name,category,subcategory,model_code,capacity,variant,mapping_confidence,resolution_method
PROD-001,"T-7401 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Power Inverter Series,IH11X2T60100S,,,verified,source_1to1
PROD-001,"T-7401 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Power Inverter Series,IH12X4T60200S,,,verified,source_1to1
PROD-002,T-7000 (1-12kW),Inverter Solutions,Long Back-up Inverters,(not listed in source),1-12KVA,,range_from_name,product_name
PROD-003,T-7002 (1.2W and 2.4W),Inverter Solutions,Long Back-up Inverters,(not listed in source),,,range_from_name,product_name
PROD-004,T-7001 (1-6kW),Inverter Solutions,Solar Hybrid Inverters,(not listed in source),1-6KVA,,range_from_name,product_name
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1.5KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),2KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),3KVA,,capacity_only,capacity_list
PROD-005,"T-7101 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),5KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),1.5KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),2KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),3KVA,,capacity_only,capacity_list
PROD-006,"T-7201 TB 1-1, Without battery (1-10K)",Inverter Solutions,Inverter Solutions,(model code not listed),5KVA,,capacity_only,capacity_list
PROD-007,"T-7501 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Inverter Solutions,IH11X2T60100S,,,verified,source_1to1
PROD-007,"T-7501 TL 1-1, Without battery (1.2-2.4K)",Inverter Solutions,Inverter Solutions,IH12X4T60200S,,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1X50R80400T,0.5KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1001R80400T,1KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1002R80400T,2KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1003R80400T,3KVA,,verified,source_1to1
PROD-008,"T-7601 (0.5-10K) , Telecom Inverter (48VDC-220AC)",Inverter Solutions,Inverter Solutions,IH1004R80400T,4KVA,,verified,source_1to1
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),20KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),30KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),50KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),80KVA,,capacity_only,capacity_list
PROD-009,AVR-1000 Single Phase (10-100kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),100KVA,,capacity_only,capacity_list
PROD-010,AVR-1000 Three Phase (10-3000kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-010,AVR-1000 Three Phase (10-3000kVA),Automatic Voltage Regulators,AVR-1000 (Servo Control),(model code not listed),3000KVA,,capacity_only,capacity_list
PROD-011,AVR-1001 Single Phase (1-50kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),1KVA,,capacity_only,capacity_list
PROD-011,AVR-1001 Single Phase (1-50kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),50KVA,,capacity_only,capacity_list
PROD-012,AVR-1001 Three Phase (10-2000kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-012,AVR-1001 Three Phase (10-2000kVA),Automatic Voltage Regulators,AVR-1001 (Static Control),(model code not listed),2000KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),1KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),2KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),3KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),5KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),7.5KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),10KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),15KVA,,capacity_only,capacity_list
PROD-013,AVR-1002 Single Phase (1-20kVA),Automatic Voltage Regulators,AVR-1002 (Relay Control),(model code not listed),20KVA,,capacity_only,capacity_list
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100123223S,1KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100223223S,2KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100323223S,3KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R100523223S,5KVA,,verified,source_1to1
PROD-014,AVR-1001 Servo 1-Phase (1-10k),Automatic Voltage Regulators,AVR-1001 (Servo Control),R101023223S,10KVA,,verified,source_1to1
PROD-015,AVR-1001 Servo 1-Phase (20-30KVA),Automatic Voltage Regulators,AVR-1001 (Servo Control),R102023223S,20KVA,,verified,source_1to1
PROD-015,AVR-1001 Servo 1-Phase (20-30KVA),Automatic Voltage Regulators,AVR-1001 (Servo Control),R103023223S,30KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R310040240S,1000KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R312540240S,1250KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R315040240S,1500KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R320040240S,2000KVA,,verified,source_1to1
PROD-016,AVR-1002 Servo 3-Phase (100-3000KVA),Automatic Voltage Regulators,AVR-1002 (Servo Control),R330040240S,3000KVA,,verified,source_1to1
PROD-017,AVR-1002 Servo 3-Phase (10-80k),Automatic Voltage Regulators,AVR-1002 (Servo Control),R300140240S,10KVA,,verified,source_1to1
PROD-017,AVR-1002 Servo 3-Phase (10-80k),Automatic Voltage Regulators,AVR-1002 (Servo Control),R300240240S,20KVA,,verified,source_1to1
PROD-017,AVR-1002 Servo 3-Phase (10-80k),Automatic Voltage Regulators,AVR-1002 (Servo Control),R300340240S,30KVA,,verified,source_1to1
PROD-017,AVR-1002 Servo 3-Phase (10-80k),Automatic Voltage Regulators,AVR-1002 (Servo Control),R300540240S,50KVA,,verified,source_1to1
PROD-017,AVR-1002 Servo 3-Phase (10-80k),Automatic Voltage Regulators,AVR-1002 (Servo Control),R300840240S,80KVA,,verified,source_1to1
PROD-018,AVR-2001 Static 1-Phase (5-30k),Automatic Voltage Regulators,AVR-2001 (Static  Control),T100523223S,5KVA,,verified,source_1to1
PROD-018,AVR-2001 Static 1-Phase (5-30k),Automatic Voltage Regulators,AVR-2001 (Static  Control),T101023223S,10KVA,,verified,source_1to1
PROD-018,AVR-2001 Static 1-Phase (5-30k),Automatic Voltage Regulators,AVR-2001 (Static  Control),T101523223S,15KVA,,verified,source_1to1
PROD-018,AVR-2001 Static 1-Phase (5-30k),Automatic Voltage Regulators,AVR-2001 (Static  Control),T102023223S,20KVA,,verified,source_1to1
PROD-018,AVR-2001 Static 1-Phase (5-30k),Automatic Voltage Regulators,AVR-2001 (Static  Control),T103023223S,30KVA,,verified,source_1to1
PROD-019,AVR-2002 Static 3-Phase (10-250k),Automatic Voltage Regulators,AVR-2002 (Static Control),T300140240S,10KVA,,verified,source_1to1
PROD-019,AVR-2002 Static 3-Phase (10-250k),Automatic Voltage Regulators,AVR-2002 (Static Control),T300240240S,20KVA,,verified,source_1to1
PROD-019,AVR-2002 Static 3-Phase (10-250k),Automatic Voltage Regulators,AVR-2002 (Static Control),T300340240S,30KVA,,verified,source_1to1
PROD-019,AVR-2002 Static 3-Phase (10-250k),Automatic Voltage Regulators,AVR-2002 (Static Control),T300540240S,50KVA,,verified,source_1to1
PROD-019,AVR-2002 Static 3-Phase (10-250k),Automatic Voltage Regulators,AVR-2002 (Static Control),T300840240S,80KVA,,verified,source_1to1
PROD-020,AVR-2002 Static 3-Phase (300-300KVA),Automatic Voltage Regulators,AVR-2002 (Static Control),T310040240S,1000KVA,,verified,source_1to1
PROD-020,AVR-2002 Static 3-Phase (300-300KVA),Automatic Voltage Regulators,AVR-2002 (Static Control),T312540240S,1250KVA,,verified,source_1to1
PROD-020,AVR-2002 Static 3-Phase (300-300KVA),Automatic Voltage Regulators,AVR-2002 (Static Control),T315040240S,1500KVA,,verified,source_1to1
PROD-020,AVR-2002 Static 3-Phase (300-300KVA),Automatic Voltage Regulators,AVR-2002 (Static Control),T320040240S,2000KVA,,verified,source_1to1
PROD-020,AVR-2002 Static 3-Phase (300-300KVA),Automatic Voltage Regulators,AVR-2002 (Static Control),T330040240S,3000KVA,,verified,source_1to1
PROD-021,AGM E-GFM Series Range: 5Ah – 200Ah,Battery Storage Power Solutions,AGM Valve Regulated Sealed Lead Acid 12Volt,(not listed in source),5-200AH,,range_from_name,product_name
PROD-022,Gel E-GH Series Range: 26Ah – 200Ah,Battery Storage Power Solutions,Gel Valve Regulated Sealed Lead Acid 12Volt,(not listed in source),26-200AH,,range_from_name,product_name
PROD-023,Pure E-GD Series Range: 26Ah – 200Ah,Battery Storage Power Solutions,Pure Gel (Deep Cycle) Valve Regulated Sealed Lead Acid 12Volt,(not listed in source),26-200AH,,range_from_name,product_name
PROD-024,AGM E-AD Series Range: 26Ah – 200Ah,Battery Storage Power Solutions,AGM (Deep Cycle) Valve Regulated Sealed Lead Acid 12Volt,(not listed in source),26-200AH,,range_from_name,product_name
PROD-025,Battery Lithium Battery Pack (RB-LI-192-100),Battery Storage Power Solutions,Battery Storage Power Solutions,RB-LI-192-100,,,verified,source_1to1
PROD-026,Battery Lithium Battery Pack (RB-LI-48-25),Battery Storage Power Solutions,Battery Storage Power Solutions,RB-LI-48-25,25Ah,,verified,source_1to1
PROD-027,T-4101A (3-10kVA),Customized Power Solutions,Custom Design Online UPS > 1 Phase In - 1 Phase Out,(model code not listed),3kVA/2.7kW (Customizable To 6KVA And 10KVA As Well),,capacity_only,capacity_list
PROD-028,"T-8001, 1-In / 1-Out, Outdoor cabinet with UPS, 0.9PF (1-3KVA)",Customized Power Solutions,Custom Design Online UPS > 1 Phase In - 1 Phase Out,(not listed in source),1-3KVA,,range_from_name,product_name
PROD-029,"T-8002, Data Master Cabinet, 1-In / 1-Out, 0.9, (1-10kVA)",Customized Power Solutions,Custom Design Online UPS > 1 Phase In - 1 Phase Out,(model code not listed),1-10kVA,,capacity_only,capacity_list
PROD-030,Customized Manual Voltage Variable Supply,Customized Power Solutions,Customized Power Solutions,MVR-380-20-380,,,verified,source_1to1
PROD-031,Static Single Phase 3-32A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),10A,,capacity_only,capacity_list
PROD-031,Static Single Phase 3-32A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),16A,,capacity_only,capacity_list
PROD-031,Static Single Phase 3-32A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),32A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),100A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),150A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),200A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),250A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),300A,,capacity_only,capacity_list
PROD-032,Static Three Phase 100-400A,Optional / Accessories,Optional UPS Components > Static Transfer Switches,(model code not listed),400A,,capacity_only,capacity_list
PROD-033,Optional SNMP Adaptor/Card,Optional / Accessories,Optional UPS Components,(not listed in source),,,range_from_name,product_name
PROD-034,Optional i-power Remote Management System (RMS),Optional / Accessories,Optional UPS Components,(not listed in source),,,range_from_name,product_name
PROD-035,Battery 7Ah-200Ah,Optional / Accessories,Battery Cabinets and Racks,(not listed in source),7-200AH,,range_from_name,product_name
PROD-036,Optional Static Transfer Switch (STS),Optional / Accessories,Optional / Accessories,STS22016 / STS22032,Available,,verified,source_1to1
PROD-037,Li-ion Battery 48VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-48-100,48VDC / 100Ah,,verified,legacy_source_restored
PROD-038,Li-ion Battery 512VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-410-50,409.8VDC / 50Ah,,verified,legacy_source_restored
PROD-038,Li-ion Battery 512VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-512-50,512VDC / 50Ah,,verified,legacy_source_restored
PROD-038,Li-ion Battery 512VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-410-100,409.8VDC / 100Ah,,verified,legacy_source_restored
PROD-038,Li-ion Battery 512VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-512-100,512VDC / 100Ah,,verified,legacy_source_restored
PROD-039,Li-ion Battery 480VDC-100Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,(not listed in source),,,range_from_name,legacy_source_restored
PROD-040,Li-ion Battery 512VDC-200Ah,Battery Storage Power Solutions,Lithium-ion Battery Packs,RB-LI-512-200,512VDC / 200Ah,,verified,legacy_source_restored
PROD-041,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",UPS Solutions,On-line high frequency,OH1001T80207S,1.0KVA / 0.8KW,,verified,ups_data_normalised
PROD-041,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",UPS Solutions,On-line high frequency,OH1002T80407S,2.0KVA / 1.6KW,,verified,ups_data_normalised
PROD-041,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",UPS Solutions,On-line high frequency,OH1003T80607S,3.0KVA / 2.4KW,,verified,ups_data_normalised
PROD-041,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",UPS Solutions,On-line high frequency,OH1006T91607S,6.0KVA / 5.4KW,,verified,ups_data_normalised
PROD-041,"T-4001 TL 1-1 (0.8,0.9PF), with built-in battery (1-10KVA)",UPS Solutions,On-line high frequency,OH1010T91607S,10.0KVA / 9.0KW,,flagged_for_review,ups_data_normalised
PROD-042,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",UPS Solutions,On-line high frequency,OH1001T80300S,1.0KVA / 0.8KW,,flagged_for_review,ups_data_normalised
PROD-042,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",UPS Solutions,On-line high frequency,OH1001T80600S,1.0KVA / 0.8KW,,flagged_for_review,ups_data_normalised
PROD-042,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",UPS Solutions,On-line high frequency,OH1003T80800S,3.0KVA / 2.4KW,,verified,ups_data_normalised
PROD-042,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",UPS Solutions,On-line high frequency,OH1006T91600S,6.0KVA / 5.4KW,,flagged_for_review,ups_data_normalised
PROD-042,"T-4001 TL 1-1 (0.8,0.9PF), Long back-up without batteries (1-10KVA)",UPS Solutions,On-line high frequency,OH1010T91600S,10.0KVA / 9.0KW,,flagged_for_review,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10207S,1.0KVA / 1.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10209S,1.0KVA / 1.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10407S,2.0KVA / 2.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10409S,2.0KVA / 2.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10607S,3.0KVA / 3.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10609S,3.0KVA / 3.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11607S,6.0KVA / 6.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11609S,6.0KVA / 6.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11607S,10.0KVA / 10.0KW,,verified,ups_data_normalised
PROD-043,T-4001 1-10k TL 1-1 (1PF) With Built-in Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11609S,10.0KVA / 10.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1001T10300S,1.0KVA / 1.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1002T10600S,2.0KVA / 2.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1003T10800S,3.0KVA / 3.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1006T11600S,6.0KVA / 6.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1006T12000S,6.0KVA / 6.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1010T11600S,10.0KVA / 10.0KW,,verified,ups_data_normalised
PROD-044,T-4001 1-10k TL 1-1 (1PF) Long Back-up Without Batteries (1-10KVA),UPS Solutions,On-line high frequency,OH1010T12000S,10.0KVA / 10.0KW,,verified,ups_data_normalised
PROD-045,T-4001 6-10k TL 1-1 (0.9PF) Built-in & Long Back-up with Parallel Feature (6-10KVA),UPS Solutions,On-line high frequency,OH1006T91507S,6.0KVA / 5.4KW,,verified,ups_data_normalised
PROD-045,T-4001 6-10k TL 1-1 (0.9PF) Built-in & Long Back-up with Parallel Feature (6-10KVA),UPS Solutions,On-line high frequency,OH1006T91600S,6.0KVA / 5.4KW,,flagged_for_review,ups_data_normalised
PROD-045,T-4001 6-10k TL 1-1 (0.9PF) Built-in & Long Back-up with Parallel Feature (6-10KVA),UPS Solutions,On-line high frequency,OH1010T91607S,10.0KVA / 9.0KW,,flagged_for_review,ups_data_normalised
PROD-045,T-4001 6-10k TL 1-1 (0.9PF) Built-in & Long Back-up with Parallel Feature (6-10KVA),UPS Solutions,On-line high frequency,OH1010T91600S,10.0KVA / 9.0KW,,flagged_for_review,ups_data_normalised
PROD-046,T-4001 6k TL 1-1 (1PF) Built-in Long Back-up with Parallel Feature (6KVA),UPS Solutions,On-line high frequency,OH1005T10400S,5.0KVA / 5.0KW,,flagged_for_review,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3020T14400S,20.0KVA / 20.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3020T14000B,20.0KVA / 20.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3030T14400S,30.0KVA / 30.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3030T14000B,30.0KVA / 30.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3040T14400S,40.0KVA / 40.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3040T14000B,40.0KVA / 40.0KW,,verified,ups_data_normalised
PROD-047,T-4003 20-80k TL 3-3 (1PF) Built-in & Long Back-up series (20-80KVA),UPS Solutions,On-line high frequency,OH3060T14400S,60.0KVA / 60.0KW,,verified,ups_data_normalised
